"","year","name","genre","mean.us.viewers.m","year2"
"1",2015,"GAME OF THRONES ","DRAMA",6.85,2015-06-26
"2",2015,"VEEP","COMEDY",0.96,2015-06-26
"3",2014,"BREAKING BAD","DRAMA",4.32,2014-06-26
"4",2014,"MODERN FAMILY","COMEDY",9.91,2014-06-26
"5",2013,"BREAKING BAD","DRAMA",1.87,2013-06-26
"6",2013,"MODERN FAMILY","COMEDY",11.06,2013-06-26
"7",2012,"HOMELAND","DRAMA",1.92,2012-06-26
"8",2012,"MODERN FAMILY","COMEDY",12.09,2012-06-26
"9",2011,"MAD MEN","DRAMA",2.27,2011-06-26
"10",2011,"MODERN FAMILY","COMEDY",11.15,2011-06-26
"11",2010,"MAD MEN","DRAMA",1.82,2010-06-26
"12",2010,"MODERN FAMILY","COMEDY",9.37,2010-06-26
"13",2009,"MAD MEN","DRAMA",1.52,2009-06-26
"14",2009,"30 ROCK","COMEDY",6.94,2009-06-26
"15",2008,"MAD MEN","DRAMA",1.21,2008-06-26
"16",2008,"30 ROCK","COMEDY",6.09,2008-06-26
"17",2007,"THE SOPRANOS","DRAMA",8.18,2007-06-26
"18",2007,"30 ROCK","COMEDY",5.58,2007-06-26
"19",2006,"24","DRAMA",12.14,2006-06-26
"20",2006,"THE OFFICE","COMEDY",8.17,2006-06-26
"21",2005,"LOST","DRAMA",18.91,2005-06-26
"22",2005,"EVERYBODY LOVES RAYMOND","COMEDY",19.1,2005-06-26
